time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/loss
25,-418.4375,1090,200.0,5,6400,-0.00716874327044934,58.020457077026364,0.067578125,0.3,-3.5762786865234375e-07,0.0003,0.013940049,640,-0.4654620781540871,21.282455444335938
26,-419.6969696969697,1092,200.0,6,6656,-0.0025454210583120583,152.50114250183105,0.0015625,0.3,1.3589859008789062e-05,0.0003,0.0050809532,650,-0.40727767497301104,62.45653533935547
27,-416.47058823529414,1093,200.0,6,6912,-0.0028768151998519896,204.610986328125,0.003125,0.3,4.410743713378906e-06,0.0003,0.0009476128,660,-0.35390887707471846,96.014892578125
28,-414.85714285714283,1094,200.0,6,7168,-0.006264280481263995,180.6982120513916,0.035546875,0.3,1.615285873413086e-05,0.0003,0.0043476243,670,-0.4300682619214058,103.6502914428711
29,-409.4594594594595,1093,200.0,6,7424,0.002794829220511019,237.70488052368165,0.04921875,0.3,1.6748905181884766e-05,0.0003,0.0047906386,680,-0.48147797882556914,150.37889099121094
30,-410.5263157894737,1096,200.0,7,7680,-0.0019465598976239561,210.27034111022948,0.048046875,0.3,1.6868114471435547e-05,0.0003,0.009765622,690,-0.5781982049345971,73.00762939453125
31,-411.28205128205127,1098,200.0,7,7936,-0.007110552117228508,56.04091815948486,0.055859375,0.3,-6.198883056640625e-06,0.0003,0.013455004,700,-0.5222516968846321,35.02307891845703
32,-408.0,1100,200.0,7,8192,-0.0017932837828993798,163.17582340240477,0.0,0.3,2.4199485778808594e-05,0.0003,0.0015721363,710,-0.4585838168859482,54.255435943603516
33,-403.3333333333333,1100,200.0,7,8448,-0.007330016884952784,186.02795238494872,0.04296875,0.3,2.7418136596679688e-05,0.0003,0.01769748,720,-0.36462991386651994,70.70634460449219
34,-404.1860465116279,1102,200.0,7,8704,-0.001431507896631956,237.88955688476562,0.0,0.3,6.413459777832031e-05,0.0003,0.0010126636,730,-0.29253163635730745,102.98609161376953
35,-403.1818181818182,1103,200.0,8,8960,-0.0027885786490514874,167.11069679260254,0.021484375,0.3,0.00024628639221191406,0.0003,0.009550286,740,-0.33966115564107896,79.2095947265625
36,-399.7826086956522,1104,200.0,8,9216,-0.0015211595164146274,163.033793258667,0.0,0.3,0.04912286996841431,0.0003,0.0025415078,750,-0.47758806496858597,56.82093048095703
37,-401.06382978723406,1102,200.0,8,9472,0.0002958295401185751,147.57983932495117,0.0,0.3,0.3220832347869873,0.0003,0.0004418816,760,-0.5436898976564407,76.66422271728516
38,-403.125,1104,200.0,8,9728,-0.0043095672270283105,73.43226776123046,0.0046875,0.3,-2.0309057235717773,0.0003,0.00364235,770,-0.5724652767181396,19.96816635131836
39,-403.46938775510205,1104,200.0,9,9984,-0.0005314552225172519,197.06847915649413,0.0,0.3,0.0013536810874938965,0.0003,0.0011407796,780,-0.6779791593551636,82.59507751464844
40,-403.1372549019608,1104,200.0,9,10240,-0.00443708230741322,186.72684059143066,0.001171875,0.3,-0.0002758502960205078,0.0003,0.0007031469,790,-0.7198128014802933,66.16770935058594
1,-360.0,1363,200.0,0,256,-0.00903703630901873,167.99068374633788,0.047265625,0.3,2.0742416381835938e-05,0.0003,0.014891252,800,-0.7156026601791382,91.88143157958984
2,-385.0,1213,200.0,0,512,-0.004547873232513666,376.7618072509766,0.026953125,0.3,-1.3947486877441406e-05,0.0003,0.021828774,410,-1.7351316154003142,229.82212829589844
3,-386.6666666666667,1167,200.0,0,768,-0.0036107328487560153,214.8326904296875,0.001171875,0.3,-3.516674041748047e-05,0.0003,0.009233724,420,-1.6737217664718629,95.81366729736328
4,-396.0,1146,200.0,0,1024,-0.016104350704699753,339.0543243408203,0.045703125,0.3,-4.3272972106933594e-05,0.0003,0.019521397,430,-1.6250000774860383,163.80007934570312
5,-413.3333333333333,1119,200.0,1,1280,-0.0025183865625876935,327.889786529541,0.0,0.3,-3.0517578125e-05,0.0003,0.0048250845,440,-1.5448255717754364,166.81033325195312
