rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
-378.3333333333333,1075,24,5,6144,200.0,0.044921875,-0.022187471389770508,0.3,8.94364070892334,-0.015778754139319062,630,0.022216268,26.530600023269653,0.0003,-2.3249865770339966
-378.125,1075,25,5,6400,200.0,0.016796875,0.029105663299560547,0.3,349.9266357421875,-0.010119212255813182,640,0.012438201,578.5871505737305,0.0003,-2.255202078819275
-378.7878787878788,1075,26,6,6656,200.0,0.01328125,0.10199981927871704,0.3,4.32927131652832,-0.014524681284092367,650,0.008481888,9.760266375541686,0.0003,-2.2791784763336183
-377.94117647058823,1076,27,6,6912,200.0,0.0125,0.11275637149810791,0.3,8.146882057189941,-0.010160850430838763,660,0.01315778,20.758605432510375,0.0003,-2.2201154232025146
-371.42857142857144,1076,28,6,7168,200.0,0.010546875,-0.07401585578918457,0.3,8.16797924041748,-0.011530490289442242,670,0.014194591,19.73233036994934,0.0003,-2.1767839789390564
-371.0810810810811,1077,29,6,7424,200.0,0.00390625,0.05824345350265503,0.3,228.2406463623047,-0.004722097842022777,680,0.005366175,542.0987483978272,0.0003,-2.2193571090698243
-364.2105263157895,1077,30,7,7680,200.0,0.030078125,0.04747319221496582,0.3,7.522943496704102,-0.014643517276272177,690,0.011793217,19.893574953079224,0.0003,-2.2138951301574705
-363.84615384615387,1077,31,7,7936,200.0,0.04296875,0.02872145175933838,0.3,455.58154296875,-0.006778538273647427,700,0.014256243,595.2793647766114,0.0003,-2.227997934818268
-364.75,1078,32,7,8192,200.0,0.000390625,0.07201164960861206,0.3,14.463518142700195,-0.003881390090100467,710,0.004919404,29.39757318496704,0.0003,-2.147799289226532
-364.04761904761904,1077,33,7,8448,200.0,0.01640625,0.22691041231155396,0.3,14.210448265075684,-0.01204492230899632,720,0.017384036,22.82708258628845,0.0003,-2.0374921202659606
-366.04651162790697,1078,34,8,8704,200.0,0.003515625,0.19406509399414062,0.3,8.157962799072266,-0.010767627158202231,730,0.0122128,20.521748495101928,0.0003,-2.105934965610504
-365.6818181818182,1078,35,8,8960,200.0,0.0,-0.012773990631103516,0.3,20.826011657714844,-0.0013170227990485727,740,0.0019961793,43.42156724929809,0.0003,-1.968041431903839
-367.17391304347825,1078,36,8,9216,200.0,0.0,0.11517375707626343,0.3,28.07077980041504,-0.0056930396938696505,750,0.0023263665,65.59423236846924,0.0003,-1.948532122373581
-367.8723404255319,1078,37,8,9472,200.0,0.058203125,0.09459733963012695,0.3,3.688724994659424,-0.011605338007211686,760,0.012272207,7.966360688209534,0.0003,-1.8573826491832732
-367.5,1078,38,9,9728,200.0,0.033984375,0.11268085241317749,0.3,14.174956321716309,-0.011028626770712435,770,0.0129473135,27.615613985061646,0.0003,-1.8575378060340881
-369.18367346938777,1079,39,9,9984,200.0,0.0,-0.18011045455932617,0.3,2.8606817722320557,-0.0032643872778862714,780,0.0031210042,8.83604555130005,0.0003,-1.8157524704933166
-369.4117647058824,1079,40,9,10240,200.0,0.003125,0.029487133026123047,0.3,29.938297271728516,-0.0037439113250002263,790,0.0063535594,61.584231567382815,0.0003,-1.9223223686218263
-400.0,1425,1,0,256,200.0,0.091015625,0.16843324899673462,0.3,2.537062406539917,-0.018674587504938243,800,0.03183051,6.919334459304809,0.0003,-1.8596501290798186
-400.0,1283,2,0,512,200.0,0.040625,0.0001417398452758789,0.3,2.6445789337158203,-0.008821275713853539,410,0.024360234,4.68506475687027,0.0003,-0.6539910942316055
-393.3333333333333,1214,3,0,768,200.0,0.030859375,0.00018602609634399414,0.3,1.8088561296463013,-0.004198386147618294,420,0.013943189,4.516780239343643,0.0003,-0.4893335461616516
-390.0,1149,4,0,1024,200.0,0.001171875,-3.7670135498046875e-05,0.3,11.81475830078125,-0.002580051438417286,430,0.0018863638,21.372094202041627,0.0003,-0.43502893298864365
-391.6666666666667,1125,5,1,1280,200.0,0.004296875,3.522634506225586e-05,0.3,20.618501663208008,-0.005663687735795975,440,0.0054725655,35.32487955093384,0.0003,-0.4917381390929222
-390.0,1137,6,1,1536,200.0,0.057421875,-7.2479248046875e-05,0.3,2.648646831512451,-0.004143366124480963,450,0.010678372,4.409267842769623,0.0003,-0.5960949957370758
-387.5,1123,7,1,1792,200.0,0.1,-2.4199485778808594e-05,0.3,16.674365997314453,-0.017147797672078014,460,0.030268105,28.87986536026001,0.0003,-0.5147723212838173
-390.0,1118,8,1,2048,200.0,0.00234375,0.0001080632209777832,0.3,10.773676872253418,-0.003963052481412888,470,0.0019956164,26.745626592636107,0.0003,-0.4585833474993706
-390.90909090909093,1123,9,2,2304,200.0,0.01171875,-1.990795135498047e-05,0.3,5.937916278839111,-0.008115566393826157,480,0.004837978,19.389623975753786,0.0003,-0.4865197390317917
-391.6666666666667,1116,10,2,2560,200.0,0.084375,-4.3511390686035156e-05,0.3,3.4443862438201904,-0.009717796533368527,490,0.02189514,4.384255772829055,0.0003,-0.5725341632962226
