time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/learning_rate
733,16900.0,0,2,512,200.0,1.0032905e-05,-0.00011289664544165135,116143.265625,0.0,231028.57890625,-0.41497731655836106,0.3,0.0,18410,0.0003
702,17583.333333333332,1,3,768,200.0,6.868504e-08,2.055116929113865e-05,162684.015625,0.0,324181.45,-0.05196863780729473,0.3,0.0,18420,0.0003
688,17740.0,1,4,1024,200.0,2.9802322e-08,-1.4085473958402872e-05,164637.78125,0.0,340361.5453125,-0.02992390627041459,0.3,0.0,18430,0.0003
681,18050.0,1,5,1280,200.0,3.5681296e-06,-0.0001677059510257095,142666.0625,0.0,271074.1890625,-0.23649728968739508,0.3,0.0,18440,0.0003
675,16850.0,2,6,1536,200.0,1.209788e-06,-7.183712441474199e-05,130435.625,0.0,274017.62578125,-0.22472440898418428,0.3,0.0,18450,0.0003
670,17087.5,2,7,1792,200.0,1.8702354e-05,-0.00042064690496772527,95963.515625,5.960464477539063e-08,191601.4484375,-0.5619464322924614,0.3,0.0,18460,0.0003
667,17040.0,3,8,2048,200.0,6.412156e-06,-0.00010644188150763512,153986.71875,0.0,307702.8078125,-0.10824380498379468,0.3,0.0,18470,0.0003
667,17077.272727272728,3,9,2304,200.0,8.712523e-06,-0.00020640520378947257,77801.265625,0.0,153438.1375,-0.5448767259716988,0.3,0.0,18480,0.0003
664,17175.0,3,10,2560,200.0,0.0,5.869893357157707e-07,172430.40625,0.0,346866.69375,-0.01001129043288529,0.3,0.0,18490,0.0003
663,17107.85714285714,4,11,2816,200.0,2.0682346e-06,-0.00023770900443196297,128967.140625,0.0,247133.1703125,-0.36618073284626007,0.3,0.0,18500,0.0003
661,16817.333333333332,4,12,3072,200.0,0.00037728064,-0.004443450830876827,149116.125,1.7881393432617188e-07,303826.5453125,-0.1776797141879797,0.3,0.0,18510,0.0003
660,16491.875,5,13,3328,200.0,0.0001645931,-0.0007509975461289286,80097.34375,0.0,148186.7359375,-0.5759644478559494,0.3,0.0,18520,0.0003
660,16674.70588235294,5,14,3584,200.0,1.0637799e-05,-0.0002370441798120737,105943.5390625,-1.1920928955078125e-07,193574.8984375,-0.511214642226696,0.3,0.0,18530,0.0003
660,16943.157894736843,5,15,3840,200.0,0.0,6.438931450247765e-08,175609.390625,1.1920928955078125e-07,345814.30625,-0.004920877562835812,0.3,0.0,18540,0.0003
659,17076.0,6,16,4096,200.0,6.5611675e-07,-2.6917271316051484e-05,149963.828125,-1.1920928955078125e-07,310521.6984375,-0.06218362723011524,0.3,0.0,18550,0.0003
