time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/loss,train/n_updates
3072,12,917,3,535.3333333333334,200.0,0.001074946,-2.3380054235458374,0.0003,0.0,0.3,-0.00175985440146178,14701.041845703125,0.16983312368392944,4552.3466796875,1710
3328,13,920,3,543.125,200.0,0.00040647737,-2.33723384141922,0.0003,0.0,0.3,-0.0003852675668895245,34103.57001953125,0.040171265602111816,14393.291015625,1720
3584,14,926,3,544.1176470588235,200.0,7.789023e-05,-2.330169117450714,0.0003,0.0,0.3,-0.0007919911295175552,16550.586535644532,0.10574173927307129,4450.98291015625,1730
3840,15,928,4,550.5263157894736,200.0,0.000612251,-2.318464756011963,0.0003,0.0,0.3,-0.0011799050495028495,15354.773657226562,0.14259111881256104,3407.33740234375,1740
4096,16,930,4,553.5,200.0,0.0004321409,-2.362529730796814,0.0003,0.0,0.3,-0.0014555558562278747,32737.01943359375,0.1832992434501648,16754.18359375,1750
4352,17,935,4,549.047619047619,200.0,0.00020961906,-2.351315212249756,0.0003,0.0,0.3,-0.0008079421008005738,17002.70693359375,0.17197656631469727,7704.24658203125,1760
4608,18,938,4,558.695652173913,200.0,0.0005249297,-2.331967353820801,0.0003,0.0,0.3,-0.0012777442811056972,12493.209436035157,0.08662837743759155,6834.921875,1770
4864,19,940,5,558.3333333333334,200.0,7.822341e-05,-2.3555850744247437,0.0003,0.0,0.3,-0.0001747929723933339,20096.954443359376,0.09426569938659668,9773.4951171875,1780
5120,20,943,5,557.2,200.0,0.00011680834,-2.33699711561203,0.0003,0.0,0.3,-0.0006579238455742597,31436.53037109375,0.17949163913726807,15528.8828125,1790
5376,21,944,5,555.0,200.0,4.398497e-05,-2.3539276242256166,0.0003,0.0,0.3,-9.492496028542518e-05,13875.920336914063,0.11739140748977661,8402.8544921875,1800
5632,22,946,5,554.6428571428571,200.0,7.690466e-05,-2.337953734397888,0.0003,0.0,0.3,-0.00047883798833936453,18392.951611328124,0.10144245624542236,9143.0849609375,1810
5888,23,947,6,554.8275862068965,200.0,8.679228e-05,-2.3461180210113524,0.0003,0.0,0.3,-0.00073162114713341,32013.8716796875,0.135650634765625,14763.421875,1820
6144,24,949,6,550.0,200.0,0.00015911157,-2.3422898769378664,0.0003,0.0,0.3,-0.0009287662571296096,16593.496923828126,0.1847742199897766,5501.3876953125,1830
6400,25,950,6,555.0,200.0,0.00090327533,-2.3438974738121034,0.0003,0.0,0.3,-0.002456239610910416,11657.861184692383,0.1532595157623291,3660.4345703125,1840
6656,26,953,6,552.7272727272727,200.0,0.00041517615,-2.3667744398117065,0.0003,0.0,0.3,0.0025191742461174726,18536.16813964844,0.10435539484024048,4081.0673828125,1850
6912,27,953,7,562.6470588235294,200.0,0.00066629704,-2.3321985483169554,0.0003,0.0,0.3,-8.901949040591716e-05,34062.7755859375,0.20573025941848755,18976.150390625,1860
7168,28,954,7,563.7142857142857,200.0,1.9405503e-05,-2.340975558757782,0.0003,0.0,0.3,-0.0003302530385553837,18513.131884765626,0.1549130082130432,7830.26025390625,1870
7424,29,955,7,566.7567567567568,200.0,3.4546247e-05,-2.3693633913993835,0.0003,0.0,0.3,-0.0003548593260347843,20132.81086425781,0.03808659315109253,3259.3193359375,1880
7680,30,956,8,565.7894736842105,200.0,0.00033951062,-2.3367051243782044,0.0003,0.0,0.3,-0.0017062644008547067,27451.890771484374,0.1622653603553772,10009.2138671875,1890
7936,31,956,8,566.1538461538462,200.0,0.00014982745,-2.2946701288223266,0.0003,0.0,0.3,0.0007377921370789409,16727.250048828126,0.18772274255752563,8971.7734375,1900
8192,32,955,8,568.5,200.0,0.00035709701,-2.3298906326293944,0.0003,0.0,0.3,-0.003922344814054668,18789.643701171874,0.06712973117828369,10505.4736328125,1910
