time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range
8,1080,1,200.0,2048,-437.0,30.940160703659057,0.0003,0.00087749446,16.01941680908203,-0.46261171996593475,-0.005025351420044899,0.00078125,1.9371509552001953e-05,470,0.3
9,1079,2,200.0,2304,-433.6363636363636,528.2904617309571,0.0003,0.00048375968,167.63723754882812,-0.46602342575788497,-0.004223872581496835,0.000390625,5.781650543212891e-06,480,0.3
10,1080,2,200.0,2560,-430.8333333333333,7.2460853099823,0.0003,0.00065618777,4.298476219177246,-0.4372969254851341,-0.0012432083021849394,0.0,-0.00027501583099365234,490,0.3
11,1072,2,200.0,2816,-426.42857142857144,6.128437423706055,0.0003,0.002109037,3.001909017562866,-0.441036531329155,-0.004537193896248936,0.0,0.00021189451217651367,500,0.3
12,1071,2,200.0,3072,-424.6666666666667,7.278911924362182,0.0003,0.0018944358,2.7662432193756104,-0.5085105612874031,9.92446206510067e-05,0.0,-0.0003833770751953125,510,0.3
13,1070,3,200.0,3328,-423.125,3.8592673540115356,0.0003,6.117765e-05,1.217436671257019,-0.5331307917833328,9.656718466430903e-05,0.0,-3.2067298889160156e-05,520,0.3
14,1074,3,200.0,3584,-427.05882352941177,2.8882829546928406,0.0003,0.0064267963,1.040256142616272,-0.561244535446167,-0.004293689853511751,0.0,0.0004735589027404785,530,0.3
15,1071,3,200.0,3840,-426.8421052631579,147.65305099487304,0.0003,0.0034967668,74.22781372070312,-0.6335671007633209,-0.011077459203079343,0.005078125,-0.00044906139373779297,540,0.3
16,1074,3,200.0,4096,-425.5,4.069284021854401,0.0003,0.0018062929,1.6576100587844849,-0.6021732002496719,-0.0012518927454948426,0.0,-0.0005394220352172852,550,0.3
17,1076,4,200.0,4352,-424.2857142857143,1.8555906176567079,0.0003,0.012530046,0.878078281879425,-0.6177127510309219,-0.004289051378145814,0.019921875,-0.0012418031692504883,560,0.3
