rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance
-265.5,338,200.0,451,341,115456,6.9641275e-05,280.3813892364502,0.0,4500,-0.0007889501517638564,0.3,-1.1886683404445648,0.0003,157.3506622314453,0.21913379430770874
-265.1,338,200.0,452,341,115712,0.007959786,8.919342625141145,0.0125,4510,-0.010899485927075148,0.3,-1.8132667779922484,0.0003,5.472772598266602,-0.36882245540618896
-265.3,338,200.0,453,342,115968,0.008753754,4.144809490442276,0.0015625,4520,-0.011971717374399305,0.3,-1.840355783700943,0.0003,0.8572146892547607,-0.13583135604858398
-262.4,339,200.0,454,342,116224,0.010491243,9.1733980178833,0.007421875,4530,-0.008697357913479208,0.3,-1.8508419930934905,0.0003,5.179389476776123,0.004588961601257324
-257.5,339,200.0,455,343,116480,0.0027696379,329.96876373291013,0.00078125,4540,-8.631343953311444e-05,0.3,-1.7607693791389465,0.0003,268.40142822265625,0.22919130325317383
-257.7,339,200.0,456,343,116736,6.2689185e-05,601.3655212402343,0.0,4550,-0.0006902196444571018,0.3,-1.8995702624320985,0.0003,91.3378677368164,0.15697181224822998
-257.4,340,200.0,457,344,116992,3.414252e-05,103.82480049133301,0.0,4560,-0.00047695357352495193,0.3,-1.9262384295463562,0.0003,7.802781105041504,-7.072988510131836
-257.8,340,200.0,458,344,117248,0.0021114687,0.9015076324343682,0.0,4570,-0.0030744747258722783,0.3,-1.9371750116348267,0.0003,0.4964244067668915,-0.10311126708984375
-260.1,340,200.0,459,344,117504,0.011249486,16.199137592315672,0.008203125,4580,-0.007012388692237437,0.3,-1.741465574502945,0.0003,5.416358470916748,0.06460154056549072
-256.0,340,200.0,460,345,117760,0.001536617,318.01442794799806,0.0,4590,-0.0018815524643287062,0.3,-1.7529415488243103,0.0003,66.18006134033203,0.2377009391784668
-258.2,341,200.0,461,345,118016,0.0007776262,301.7673793792725,0.0,4600,-0.002201251278165728,0.3,-1.86972878575325,0.0003,139.6020050048828,0.259593665599823
-260.9,341,200.0,462,346,118272,0.0019785701,81.02230794131756,0.0,4610,-0.0022205311339348554,0.3,-1.8350839078426362,0.0003,0.719330906867981,-23.974109649658203
-260.5,341,200.0,463,346,118528,0.0036713907,10.386793541908265,0.001171875,4620,-0.0053931540111079816,0.3,-1.8498807013034821,0.0003,3.6231746673583984,-0.07704734802246094
-261.0,342,200.0,464,347,118784,0.001262127,293.24922904968264,0.0,4630,-0.0013986982870846988,0.3,-1.7726822733879088,0.0003,146.68905639648438,0.3041728138923645
-253.7,342,200.0,465,347,119040,0.0036069306,790.6201835632324,0.001171875,4640,-0.004552367585711181,0.3,-1.6943651378154754,0.0003,489.698486328125,0.3007662296295166
-253.5,342,200.0,466,347,119296,0.019125361,12.584431409835815,0.057421875,4650,-0.020729030575603248,0.3,-1.8615875482559203,0.0003,4.90238618850708,-0.08767104148864746
-253.7,343,200.0,467,348,119552,0.04173721,5.583706486225128,0.158984375,4660,-0.0239416366443038,0.3,-1.7701481580734253,0.0003,3.036543846130371,0.039945125579833984
-265.9,343,200.0,468,348,119808,0.02015968,7.879489278793335,0.025,4670,-0.019386897375807167,0.3,-1.623355108499527,0.0003,4.271045684814453,0.042191505432128906
